Styrk code;Styrk description;Category level 1;Category level 2
5152;Husholdere;Salg og service;Renholdere og renovasjon
5153;Vaktmestere;Håndverkere;Vaktmester
5161;Astrologer mv.;Salg og service;Personlig tjenesteyting
5163;Begravelsesbyrå- og krematoriemedarbeidere;Håndverkere;Øvrige håndverksyrker
5164;Dyrepassere og -trenere mv.;Natur og miljø ;Veterinærer og dyrepleiere
5165;Kjøreskolelærere;Utdanning ;Instruktører  og pedagoger
5169;Andre personlige tjenesteytere;Salg og service;Personlig tjenesteyting
5211;Torghandlere mv.;Salg og service;Salg, butikk- og varehandel
5212;Gateselger av mat;Salg og service;Salg, butikk- og varehandel
5221;Innehavere av kiosk/liten butikk;Salg og service;Salg, butikk- og varehandel
5222;Butikkavdelingssjefer;Salg og service;Salg, butikk- og varehandel
5223;Butikkmedarbeidere;Salg og service;Salg, butikk- og varehandel
5230;Billettselgere;Salg og service;Salg, butikk- og varehandel
5241;Mannekenger og modeller;Kultur og kreative yrker;Reklame og dekorasjon
5242;Demonstrasjonsselgere;Salg og service;Salg, butikk- og varehandel
5243;Dørselgere;Salg og service;Salg, butikk- og varehandel
5244;Telefon- og nettselgere;Salg og service;Salg, butikk- og varehandel
5245;Servicemedarbeidere (bensinstasjon);Salg og service;Salg, butikk- og varehandel
5246;Gatekjøkken- og kafémedarbeidere mv.;Salg og service;Salg, butikk- og varehandel
5249;Andre salgsmedarbeidere;Salg og service;Salg, butikk- og varehandel
5311;Barnehage- og skolefritidsassistenter mv.;Utdanning ;Barnehage og grunnskole
5312;Skoleassistenter;Utdanning ;Barnehage og grunnskole
5321;Helsefagarbeidere;Helse og sosial;Helse
5322;Hjemmehjelper;Helse og sosial;Sosial
5329;Andre pleiemedarbeidere;Helse og sosial;Helse
5411;Brannkonstabler;Sikkerhet og beredskap;Brann-, utryknings- og redningspersonell
5413;Fengselsbetjenter;Sikkerhet og beredskap;Politi, fengsel og toll
5414;Vektere;Sikkerhet og beredskap;Vakt-, sikrings- og kontrollarbeid
5419;Andre sikkerhetsarbeidere;Sikkerhet og beredskap;Vakt-, sikrings- og kontrollarbeid
6111;Korn- og grønnsaksprodusenter;Natur og miljø ;Skogbruk, gartnerarbeid og hagebruk
6112;Frukt- og bærprodusenter;Natur og miljø ;Skogbruk, gartnerarbeid og hagebruk
6113;Gartnere;Natur og miljø ;Skogbruk, gartnerarbeid og hagebruk
6114;Kombinasjonsbrukere, nyttevekster;Natur og miljø ;Skogbruk, gartnerarbeid og hagebruk
6121;Melke- og husdyrprodusenter;Natur og miljø ;Jordbruk og dyrehold
6122;Egg- og fjærfeprodusenter;Natur og miljø ;Jordbruk og dyrehold
6123;Birøktere;Natur og miljø ;Jordbruk og dyrehold
6129;Andre dyreoppdrettere og -røktere;Natur og miljø ;Jordbruk og dyrehold
6130;Plante- og husdyrprodusenter (kombinasjonsbruk;Natur og miljø ;Jordbruk og dyrehold
6210;Skogbrukere;Natur og miljø ;Skogbruk, gartnerarbeid og hagebruk
6221;Havbruksarbeidere;Natur og miljø ;Fiske, fangst og oppdrett
6222;Fiskere;Natur og miljø ;Fiske, fangst og oppdrett
6224;Fangstfolk;Natur og miljø ;Fiske, fangst og oppdrett
7112;Murere;Håndverkere;Murer
